well,depth,temperature,temperature_unc_1sigma,data_type
AST-02,1624,53.3,30,BHT
AST-02,1626,51.7,30,BHT
AST-02,2,10.77,0.1,continuous log
AST-02,2.2,10.73,0.1,continuous log
AST-02,2.4,10.7,0.1,continuous log
AST-02,2.6,10.67,0.1,continuous log
AST-02,2.8,10.64,0.1,continuous log
AST-02,3,10.61,0.1,continuous log
AST-02,3.2,10.57,0.1,continuous log
AST-02,3.4,10.54,0.1,continuous log
AST-02,3.6,10.51,0.1,continuous log
AST-02,3.8,10.48,0.1,continuous log
AST-02,4,10.44,0.1,continuous log
AST-02,4.2,10.41,0.1,continuous log
AST-02,4.4,10.38,0.1,continuous log
AST-02,4.6,10.35,0.1,continuous log
AST-02,4.8,10.37,0.1,continuous log
AST-02,5,10.38,0.1,continuous log
AST-02,5.2,10.4,0.1,continuous log
AST-02,5.4,10.41,0.1,continuous log
AST-02,5.6,10.43,0.1,continuous log
AST-02,5.8,10.44,0.1,continuous log
AST-02,6,10.46,0.1,continuous log
AST-02,6.2,10.47,0.1,continuous log
AST-02,6.4,10.49,0.1,continuous log
AST-02,6.6,10.51,0.1,continuous log
AST-02,6.8,10.52,0.1,continuous log
AST-02,7,10.54,0.1,continuous log
AST-02,7.2,10.55,0.1,continuous log
AST-02,7.4,10.57,0.1,continuous log
AST-02,7.6,10.58,0.1,continuous log
AST-02,7.8,10.6,0.1,continuous log
AST-02,8,10.61,0.1,continuous log
AST-02,8.2,10.63,0.1,continuous log
AST-02,8.4,10.64,0.1,continuous log
AST-02,8.6,10.66,0.1,continuous log
AST-02,8.8,10.67,0.1,continuous log
AST-02,9,10.69,0.1,continuous log
AST-02,9.2,10.7,0.1,continuous log
AST-02,9.4,10.72,0.1,continuous log
AST-02,9.6,10.74,0.1,continuous log
AST-02,9.8,10.75,0.1,continuous log
AST-02,10,10.77,0.1,continuous log
AST-02,10.2,10.79,0.1,continuous log
AST-02,10.4,10.8,0.1,continuous log
AST-02,10.6,10.82,0.1,continuous log
AST-02,10.8,10.83,0.1,continuous log
AST-02,11,10.85,0.1,continuous log
AST-02,11.2,10.87,0.1,continuous log
AST-02,11.4,10.88,0.1,continuous log
AST-02,11.6,10.9,0.1,continuous log
AST-02,11.8,10.91,0.1,continuous log
AST-02,12,10.93,0.1,continuous log
AST-02,12.2,10.95,0.1,continuous log
AST-02,12.4,10.96,0.1,continuous log
AST-02,12.6,10.98,0.1,continuous log
AST-02,12.8,10.99,0.1,continuous log
AST-02,13,11.01,0.1,continuous log
AST-02,13.2,11.03,0.1,continuous log
AST-02,13.4,11.04,0.1,continuous log
AST-02,13.6,11.06,0.1,continuous log
AST-02,13.8,11.07,0.1,continuous log
AST-02,14,11.09,0.1,continuous log
AST-02,14.2,11.11,0.1,continuous log
AST-02,14.4,11.12,0.1,continuous log
AST-02,14.6,11.14,0.1,continuous log
AST-02,14.8,11.16,0.1,continuous log
AST-02,15,11.17,0.1,continuous log
AST-02,15.2,11.19,0.1,continuous log
AST-02,15.4,11.2,0.1,continuous log
AST-02,15.6,11.22,0.1,continuous log
AST-02,15.8,11.24,0.1,continuous log
AST-02,16,11.25,0.1,continuous log
AST-02,16.2,11.27,0.1,continuous log
AST-02,16.4,11.28,0.1,continuous log
AST-02,16.6,11.3,0.1,continuous log
AST-02,16.8,11.32,0.1,continuous log
AST-02,17,11.33,0.1,continuous log
AST-02,17.2,11.35,0.1,continuous log
AST-02,17.4,11.36,0.1,continuous log
AST-02,17.6,11.37,0.1,continuous log
AST-02,17.8,11.38,0.1,continuous log
AST-02,18,11.39,0.1,continuous log
AST-02,18.2,11.4,0.1,continuous log
AST-02,18.4,11.4,0.1,continuous log
AST-02,18.6,11.41,0.1,continuous log
AST-02,18.8,11.42,0.1,continuous log
AST-02,19,11.43,0.1,continuous log
AST-02,19.2,11.44,0.1,continuous log
AST-02,19.4,11.45,0.1,continuous log
AST-02,19.6,11.46,0.1,continuous log
AST-02,19.8,11.47,0.1,continuous log
AST-02,20,11.48,0.1,continuous log
AST-02,20.2,11.49,0.1,continuous log
AST-02,20.4,11.5,0.1,continuous log
AST-02,20.6,11.51,0.1,continuous log
AST-02,20.8,11.52,0.1,continuous log
AST-02,21,11.53,0.1,continuous log
AST-02,21.2,11.54,0.1,continuous log
AST-02,21.4,11.55,0.1,continuous log
AST-02,21.6,11.56,0.1,continuous log
AST-02,21.8,11.57,0.1,continuous log
AST-02,22,11.58,0.1,continuous log
AST-02,22.2,11.59,0.1,continuous log
AST-02,22.4,11.6,0.1,continuous log
AST-02,22.6,11.61,0.1,continuous log
AST-02,22.8,11.62,0.1,continuous log
AST-02,23,11.63,0.1,continuous log
AST-02,23.2,11.64,0.1,continuous log
AST-02,23.4,11.65,0.1,continuous log
AST-02,23.6,11.66,0.1,continuous log
AST-02,23.8,11.67,0.1,continuous log
AST-02,24,11.68,0.1,continuous log
AST-02,24.2,11.68,0.1,continuous log
AST-02,24.4,11.69,0.1,continuous log
AST-02,24.6,11.7,0.1,continuous log
AST-02,24.8,11.71,0.1,continuous log
AST-02,25,11.72,0.1,continuous log
AST-02,25.2,11.73,0.1,continuous log
AST-02,25.4,11.74,0.1,continuous log
