well,depth,temperature,temperature_unc_1sigma,data_type
AND-06,2238.83,101.8,3,DST
AND-06,2237.35,102.3,3,DST
OTL-01,2140.47,95.6,3,DST
WED-01,2684.7,111.7,3,DST
WWK-01,2708.34,108.4,3,DST
WWN-01,2781,108.9,3,DST
WWN-01,2668.29,103.6,3,DST
WWS-01,2681.94,106.6,3,DST
ALM-01,1006,62,30,BHT
ALM-01,1006.6,62,30,BHT
ALM-01,2170.3,67,30,BHT
ALM-01,2365.5,69,30,BHT
ALM-01,2370,69,30,BHT
ALM-01,2370,69,30,BHT
AND-04,950.28,32,30,BHT
AND-04,1407.43,53,30,BHT
AND-04,1528.13,58,30,BHT
AND-04,1719.47,59,30,BHT
AND-06,1492.29,61,30,BHT
AND-06,1497,60,30,BHT
AND-06,1497,60,30,BHT
AND-06,1497,59,30,BHT
AND-06,1713.96,66,30,BHT
AND-06,1713.96,66,30,BHT
AND-06,1713.96,63,30,BHT
AND-06,2213.86,88,30,BHT
AND-06,2290.55,85,30,BHT
AND-06,2670.11,94,30,BHT
AND-06,2670.11,88,30,BHT
AND-06,2670.11,94,30,BHT
AND-06,2670.11,100,30,BHT
AND-06,2673.44,91,30,BHT
ARC-01,887.8,42,30,BHT
AST-02,1624,53.3,30,BHT
AST-02,1626,51.7,30,BHT
BKZ-01,2689.33,95.6,30,BHT
BKZ-01,2689.33,95.6,30,BHT
BKZ-01,2689.33,90.6,30,BHT
BKZ-01,2689.33,98.9,30,BHT
BKZ-01,2689.33,95.6,30,BHT
BKZ-01,2689.33,98.9,30,BHT
BKZ-01,1827.88,63,30,BHT
BKZ-01,2689.33,95.6,30,BHT
BRAK-01,2504.82,100,30,BHT
BRAK-01,2212.62,86,30,BHT
BRAK-01,2564.82,92,30,BHT
BRAK-01,2564.82,92,30,BHT
BRAK-01,1550.55,69,30,BHT
BRAK-01,1546.08,70,30,BHT
BRAK-01,1546.08,69.5,30,BHT
BRAK-01,1548.76,71,30,BHT
BRAK-01,2212.62,88,30,BHT
CAP-01,1655.93,66,30,BHT
CAP-01,1655.93,66,30,BHT
CAP-01,1655.93,66.5,30,BHT
CAP-01,1655.93,66.5,30,BHT
CAP-01,2903.81,76,30,BHT
CAP-01,2903.81,76,30,BHT
CAP-01,2903.81,80,30,BHT
CAP-01,3624.37,110,30,BHT
CAP-01,3624.37,113,30,BHT
BRK-04,398.52,-99999,30,BHT
BRK-04,398.52,-99999,30,BHT
BRK-04,1096.37,46,30,BHT
BRK-04,1096.37,46,30,BHT
BRK-04,1096.37,49,30,BHT
BRK-04,1096.37,46,30,BHT
BRK-04,1096.37,46,30,BHT
BRK-04,1516.94,53,30,BHT
BRK-04,1516.23,55,30,BHT
BRK-04,1516.23,56,30,BHT
BRK-04,1587.12,60,30,BHT
BRK-04,1587.12,58,30,BHT
BRK-04,1587.12,57,30,BHT
BRT-01,1331.58,60,30,BHT
BRT-01,1331.58,59,30,BHT
BRT-01,1331.58,59,30,BHT
BRT-01,2402.8,72.2,30,BHT
BRT-01,2402.8,77,30,BHT
BRT-01,2402.8,74,30,BHT
BRT-01,2598.86,76.1,30,BHT
BRT-01,2598.86,78,30,BHT
BRT-01,2598.86,78,30,BHT
BRT-01,2999.21,93.8,30,BHT
BRT-01,2999.21,92.5,30,BHT
BRT-01,2999.21,92,30,BHT
BRT-01,2999.21,92.5,30,BHT
BUM-01,1203.5,55,30,BHT
BUM-01,1203.5,55,30,BHT
BUM-01,1477.36,59,30,BHT
BUM-01,1477.36,59,30,BHT
BUM-01,1753.84,64,30,BHT
BUM-01,1753.54,64,30,BHT
BUM-01,1753.54,64,30,BHT
BUM-01,2189.55,74,30,BHT
BUM-01,2189.55,74,30,BHT
BUM-01,2189.55,74,30,BHT
BUM-01,2189.55,74,30,BHT
GSH-01,451,24,30,BHT
GSH-01,451,25,30,BHT
GSH-01,451,24,30,BHT
DON-01,1146.6,46,30,BHT
DON-01,1186.5,41,30,BHT
GRH-01,451,24,30,BHT
GRH-01,451,25,30,BHT
GRH-01,451,25,30,BHT
GSD-01,2250.5,61,30,BHT
GSD-01,2250.5,61,30,BHT
GSD-01,2569.7,58,30,BHT
GSD-01,2571.6,58,30,BHT
GWD-01,1238.59,48,30,BHT
GWD-01,1236.48,50,30,BHT
GWD-01,1238.59,48,30,BHT
GWD-01,1815.16,81,30,BHT
GWD-01,1505.38,73,30,BHT
GWD-01,1508.38,73,30,BHT
GWD-01,1680.72,70,30,BHT
GWD-01,1679.16,69,30,BHT
HEI-01,1757.2,57,30,BHT
HEI-01,2212.1,69,30,BHT
HEI-01,2212.1,72,30,BHT
HPT-01,708,27,30,BHT
HPT-01,709,27,30,BHT
HPT-01,1309,42,30,BHT
HPT-01,1312,42,30,BHT
HPT-01,1657,50,30,BHT
HPT-01,1748,50,30,BHT
HSW-01,1631.13,63,30,BHT
HSW-01,2241.17,72,30,BHT
HSW-01,2554.4,101,30,BHT
HSW-01,2846,107,30,BHT
HSW-01,2846,108,30,BHT
HSW-01,2846,98,30,BHT
HSW-01-S1,2562.06,101,30,BHT
HSW-01-S1,2562.06,101,30,BHT
HSW-01-S1,2562.06,101,30,BHT
HSW-01-S1,2708.66,98.5,30,BHT
HSW-01-S1,2762.35,107,30,BHT
HSW-01-S1,2787.78,98,30,BHT
HSW-01-S1,2787.78,108,30,BHT
HSW-01-S1,2787.78,107,30,BHT
HSW-01-S1,2787.78,108,30,BHT
HSW-01-S1,2787.78,107,30,BHT
KWK-01,3113.63,106.6,30,BHT
KWK-01,2683.44,108,30,BHT
KWK-01,2172.06,85,30,BHT
KWK-01,2165.92,90,30,BHT
KWK-01,2683.44,98.2,30,BHT
KWK-01,2683.44,108,30,BHT
KWK-01,2683.44,104.5,30,BHT
KWK-01,3113.63,112,30,BHT
KWK-01,3113.63,114.9,30,BHT
KWK-01,3113.63,106.6,30,BHT
HVB-01,993.21,35,30,BHT
HVB-01,993.21,35,30,BHT
HVB-01,1988.51,77,30,BHT
HVB-01,2527.16,101,30,BHT
HVB-01,2547.51,101,30,BHT
HVB-01,2547.51,99,30,BHT
HVB-01,2547.51,101,30,BHT
HVB-01,2547.51,100,30,BHT
HVB-01,2544.02,101,30,BHT
IJS-64,1458.89,56,30,BHT
IJS-64,1458.89,58,30,BHT
IJS-64,1458.89,59,30,BHT
IJS-64,2442.57,67,30,BHT
IJS-64,2442.57,68,30,BHT
IJS-64,2442.57,69,30,BHT
IJS-64,2442.57,68,30,BHT
IJS-64,2905,73,30,BHT
IJS-64,2905,74,30,BHT
IJS-64,2905,74,30,BHT
IJS-64,2905,69,30,BHT
IJS-64,3655,115,30,BHT
IJS-64,3655,119,30,BHT
IJS-64,3655,117,30,BHT
KDK-01,1355.46,46.5,30,BHT
KDK-01,1695.18,57.2,30,BHT
KDK-01,2138.89,85,30,BHT
KDK-01,2190.16,81,30,BHT
KDK-01,2189.39,81,30,BHT
KDK-01,2190.16,85,30,BHT
RSB-01,1446,50,30,BHT
RSB-01,1446,50,30,BHT
RSB-01,2342.3,76,30,BHT
